# Phase, F_N(4.94),Q_N(4.94),U_N(4.94), PA, dop, PA_org
8.282828283e-01,3.988467206e-04,7.151125926e-07,5.035877164e-07,3.067721364e-01,2.192910418e-03,1.864996967e+00
8.383838384e-01,3.977378942e-04,5.110698993e-07,5.130709824e-07,3.936760374e-01,1.820742643e-03,1.957742419e+00
8.484848485e-01,3.950476010e-04,3.361258620e-07,4.944767288e-07,4.868916509e-01,1.513495738e-03,2.045541636e+00
8.585858586e-01,3.906618286e-04,1.806910147e-07,4.518305085e-07,5.951842690e-01,1.245632461e-03,2.148858260e+00
8.686868687e-01,3.854084385e-04,5.239366884e-08,3.922093674e-07,7.189982894e-01,1.026685933e-03,2.238756962e+00
8.787878788e-01,3.771972728e-04,-4.618284378e-08,3.201154663e-07,8.570385251e-01,8.574550165e-04,2.468048290e+00
8.888888889e-01,3.702012165e-04,-1.205755599e-07,2.434196637e-07,1.015354601e+00,7.337795721e-04,1.514018194e+00
8.989898990e-01,3.602409157e-04,-1.677485255e-07,1.583171302e-07,1.192555631e+00,6.402928039e-04,9.821647434e-01
9.090909091e-01,3.520942623e-04,-1.946214702e-07,7.300413885e-08,1.391363497e+00,5.903624362e-04,-1.226161481e-01
9.191919192e-01,3.427748341e-04,-1.976480772e-07,-8.301656145e-09,-1.549807558e+00,5.771203853e-04,-2.902358782e-01
9.292929293e-01,3.300179777e-04,-1.779410352e-07,-8.352116812e-08,-1.351371685e+00,5.956267617e-04,-4.249281837e-01
9.393939394e-01,3.194117504e-04,-1.439784583e-07,-1.514708329e-07,-1.165420333e+00,6.542694868e-04,-1.382643554e+00
9.494949495e-01,3.060483798e-04,-9.353457291e-08,-2.068465130e-07,-9.977362835e-01,7.417501945e-04,-2.506692458e+00
9.595959596e-01,2.935118851e-04,-3.111165443e-08,-2.538183806e-07,-8.463812011e-01,8.712356543e-04,-2.380326651e+00
9.696969697e-01,2.798462619e-04,3.962476907e-08,-2.859138826e-07,-7.165418354e-01,1.031447113e-03,-2.243189842e+00
9.797979798e-01,2.682754659e-04,1.152378231e-07,-3.112427475e-07,-6.080979880e-01,1.237128605e-03,-2.125869831e+00
9.898989899e-01,2.572296687e-04,1.958912762e-07,-3.198467842e-07,-5.106350712e-01,1.458102167e-03,-2.060311505e+00
1.000000000e+00,2.462582087e-04,2.800927719e-07,-3.172563766e-07,-4.237661446e-01,1.718546962e-03,-2.034503262e+00
