# Phase, F_N(4.94),Q_N(4.94),U_N(4.94), PA, dop, PA_org
8.787878788e-01,1.480662781e-04,-1.419227102e-04,5.739344268e-06,1.550587374e+00,9.592914331e-01,-1.594251377e+00
8.888888889e-01,1.422702374e-04,-1.367683531e-04,-6.992406150e-06,-1.545255611e+00,9.625834992e-01,-1.548986159e+00
8.989898990e-01,1.364830084e-04,-1.305595047e-04,-1.729206727e-05,-1.504956592e+00,9.649527750e-01,-1.502169506e+00
9.090909091e-01,1.307967761e-04,-1.237524853e-04,-2.631475835e-05,-1.466036541e+00,9.672971053e-01,-1.469071626e+00
9.191919192e-01,1.253278247e-04,-1.161821281e-04,-3.458196910e-05,-1.426145189e+00,9.672204359e-01,-1.431291215e+00
9.292929293e-01,1.208386680e-04,-1.086239982e-04,-4.165140480e-05,-1.387719086e+00,9.627363225e-01,-1.407184803e+00
9.393939394e-01,1.160763456e-04,-1.022259928e-04,-4.762885592e-05,-1.352790524e+00,9.715764469e-01,-1.350550655e+00
9.494949495e-01,1.117202478e-04,-9.500993685e-05,-5.302617139e-05,-1.316271438e+00,9.739113738e-01,-1.312608826e+00
9.595959596e-01,1.071446538e-04,-8.737937739e-05,-5.729938999e-05,-1.280591481e+00,9.752332750e-01,-1.254745185e+00
9.696969697e-01,1.036317245e-04,-8.076686002e-05,-6.136290975e-05,-1.245939216e+00,9.787851367e-01,-1.239244068e+00
9.797979798e-01,9.929750143e-05,-7.286674269e-05,-6.413040641e-05,-1.209939231e+00,9.775511250e-01,-1.227428643e+00
9.898989899e-01,9.501065835e-05,-6.527893553e-05,-6.613939991e-05,-1.174823531e+00,9.780880339e-01,-1.181096165e+00
1.000000000e+00,9.269146947e-05,-5.920855025e-05,-6.876094551e-05,-1.140843397e+00,9.789449742e-01,-1.169988865e+00
