  Sc.N.4:     2.71304e-08     1.49604e-07     6.22295e-07     1.98161e-06     4.56573e-06     7.48785e-06     9.27858e-06     9.01699e-06     7.02805e-06     4.46842e-06     2.34706e-06     1.02565e-06     3.72814e-07     1.11795e-07     2.71669e-08     5.18434e-09     7.36051e-10     7.06255e-11     3.83912e-12     8.50605e-14     4.03326e-16
  Sc.N.5:     1.51174e-08     8.57348e-08     3.61811e-07     1.18167e-06     2.91753e-06     5.40717e-06     7.77692e-06     8.94252e-06     8.41599e-06     6.60150e-06     4.37220e-06     2.46374e-06     1.18407e-06     4.83932e-07     1.66576e-07     4.72955e-08     1.06169e-08     1.72950e-09     1.72357e-10     7.51172e-12     7.25349e-14
  Sc.N.6:     8.46479e-09     4.89684e-08     2.09761e-07     7.01895e-07     1.82900e-06     3.70751e-06     5.97292e-06     7.83243e-06     8.53708e-06     7.86494e-06     6.20048e-06     4.21782e-06     2.48657e-06     1.27075e-06     5.59709e-07     2.09016e-07     6.37209e-08     1.46162e-08     2.12993e-09     1.39950e-10     2.04163e-12
  Sc.N.7:     4.75866e-09     2.79445e-08     1.21467e-07     4.15861e-07     1.13258e-06     2.46224e-06     4.34074e-06     6.32603e-06     7.75973e-06     8.13250e-06     7.36757e-06     5.81852e-06     4.02691e-06     2.44593e-06     1.29835e-06     5.93491e-07     2.25343e-07     6.55821e-08     1.23400e-08     1.05685e-09     1.98347e-11
  Sc.N.8:     2.68371e-09     1.59511e-08     7.03134e-08     2.45954e-07     6.95476e-07     1.60084e-06     3.03830e-06     4.83053e-06     6.53327e-06     7.61809e-06     7.74196e-06     6.91404e-06     5.45604e-06     3.81214e-06     2.35028e-06     1.26119e-06     5.68784e-07     1.99044e-07     4.55018e-08     4.74365e-09     1.06508e-10
  Sc.N.9:     1.51772e-09     9.11319e-09     4.07091e-08     1.45287e-07     4.24487e-07     1.02520e-06     2.07005e-06     3.54140e-06     5.20189e-06     6.63925e-06     7.43700e-06     7.36926e-06     6.49497e-06     5.10331e-06     3.56437e-06     2.18436e-06     1.13496e-06     4.61608e-07     1.23418e-07     1.50161e-08     3.86165e-10
 Sc.N.10:     8.60494e-10     5.21292e-09     2.35803e-08     8.57478e-08     2.57903e-07     6.49183e-07     1.38213e-06     2.51781e-06     3.97040e-06     5.47791e-06     6.67364e-06     7.23293e-06     7.01115e-06     6.09302e-06     4.73511e-06     3.24983e-06     1.90429e-06     8.79348e-07     2.67997e-07     3.70128e-08     1.06047e-09
   54deg:     5.02125e-07     2.43990e-06     1.00610e-05     3.05064e-05     5.38378e-05     5.06361e-05     4.79489e-05     4.93358e-05     4.79140e-05     4.38287e-05     3.79770e-05     3.10750e-05     2.38209e-05     1.69620e-05     1.10983e-05     6.54537e-06     3.34466e-06     1.36158e-06     3.69472e-07     4.59460e-08     1.19826e-09
  Sc.N.0:     5.02125e-07     2.43990e-06     1.00610e-05     3.05064e-05     5.38378e-05     5.06361e-05     4.79489e-05     4.93358e-05     4.79140e-05     4.38287e-05     3.79770e-05     3.10750e-05     2.38209e-05     1.69620e-05     1.10983e-05     6.54537e-06     3.34466e-06     1.36158e-06     3.69472e-07     4.59460e-08     1.19826e-09
  Sc.N.0:     1.74258e-07     7.81020e-07     3.22106e-06     9.53292e-06     1.38940e-05     4.81154e-06     1.12103e-07     1.98696e-11     5.43250e-19     2.06513e-33     3.63305e-60    4.14161e-109    5.75245e-198     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
